Datetime,PM2.5,PM10,NO,NO2,NOx,CO,O3,Benzene,Toluene,AQI,AQI_Bucket
2020-09-27,132.6,378.1,69.5,112.9,125.5,1.81,112.1,19.98,7.68,335.0,Very Poor
2020-09-28,78.3,180.0,87.3,62.1,185.3,3.45,46.6,10.73,24.51,205.3,Poor
2020-09-29,336.8,131.9,160.0,32.8,232.4,2.51,43.9,4.92,10.15,435.1,Severe
2020-09-30,120.7,187.5,99.4,82.3,62.6,6.0,17.6,17.82,26.1,158.5,Moderate
2020-10-01,222.2,379.1,62.8,83.5,39.2,0.23,120.1,4.38,15.46,378.7,Very Poor
2020-10-02,35.9,1.1,41.6,88.0,236.1,2.96,128.6,19.73,22.55,256.1,Poor
2020-10-03,120.4,593.5,191.3,106.1,63.0,3.65,144.0,18.34,2.17,496.2,Severe
2020-10-04,473.2,357.5,72.3,75.1,211.6,6.57,52.8,1.51,5.16,489.3,Severe
2020-10-05,62.3,275.4,76.7,17.3,51.5,4.91,174.5,15.57,13.81,225.4,Poor
2020-10-06,433.5,263.2,36.3,123.2,180.5,4.81,168.3,14.15,11.23,473.6,Severe
2020-10-07,340.7,506.9,81.8,146.7,43.6,0.64,54.1,12.25,27.17,445.5,Severe
2020-10-08,400.1,482.9,68.9,149.1,102.7,5.4,194.1,14.46,29.44,460.3,Severe
2020-10-09,246.2,7.0,34.3,60.9,44.6,1.37,162.8,12.2,12.56,397.1,Very Poor
2020-10-10,166.5,482.7,108.8,7.5,129.2,1.15,126.0,14.47,16.28,431.3,Severe
2020-10-11,77.2,99.5,179.0,95.2,210.5,1.79,170.9,13.84,16.01,230.5,Poor
2020-10-12,199.3,213.4,93.8,11.8,107.1,7.39,55.2,4.83,20.46,361.1,Very Poor
2020-10-13,208.0,96.8,151.3,23.0,14.9,2.21,71.9,5.78,23.11,367.8,Very Poor
2020-10-14,234.6,297.6,5.9,58.7,93.1,7.32,44.9,8.01,12.2,388.2,Very Poor
2020-10-15,260.3,185.7,197.8,46.3,169.8,8.05,138.9,9.42,23.99,404.7,Severe
2020-10-16,411.7,423.5,195.7,6.3,76.0,3.71,102.6,5.05,17.05,464.9,Severe
2020-10-17,259.5,297.3,191.8,95.5,7.9,4.82,54.7,13.55,13.22,404.4,Severe
2020-10-18,226.1,417.8,173.5,61.3,206.0,0.31,116.9,5.85,25.21,384.7,Very Poor
2020-10-19,281.3,214.2,171.9,134.1,57.4,2.03,24.1,2.95,29.63,413.0,Severe
2020-10-20,233.3,431.4,15.4,143.4,230.0,6.94,175.2,0.64,14.33,401.2,Severe
2020-10-21,257.3,139.1,125.2,65.2,129.4,6.01,27.6,18.04,25.7,403.5,Severe
2020-10-22,211.2,149.4,46.7,111.2,191.4,0.96,169.3,1.0,21.06,370.2,Very Poor
2020-10-23,154.8,377.7,124.8,16.0,68.5,1.29,114.0,16.84,5.24,334.5,Very Poor
2020-10-24,131.3,313.9,173.4,111.9,76.1,1.87,49.0,13.72,21.64,308.9,Very Poor
2020-10-25,415.7,515.4,183.9,64.6,82.3,7.47,65.5,2.84,19.43,466.5,Severe
2020-10-26,124.6,22.7,134.7,53.1,229.4,1.29,41.7,15.27,8.55,303.8,Very Poor
2020-10-27,446.3,56.6,108.6,115.8,23.2,6.78,64.7,8.07,3.42,478.6,Severe
2020-10-28,361.2,345.8,190.1,34.3,203.4,4.08,91.6,14.95,14.04,444.8,Severe
2020-10-29,105.1,292.7,191.5,111.0,106.2,4.96,136.0,4.76,24.76,249.1,Poor
2020-10-30,47.4,33.6,73.5,42.2,75.3,4.65,105.8,6.31,18.27,133.0,Moderate
2020-10-31,124.9,325.5,3.3,108.9,170.5,5.67,5.3,19.3,5.97,304.0,Very Poor
2020-11-01,11.6,503.8,29.3,11.8,237.8,8.69,186.8,14.54,21.23,443.6,Severe
2020-11-02,147.7,180.6,129.0,119.4,92.1,8.86,39.0,4.04,6.37,321.5,Very Poor
2020-11-03,73.7,514.6,154.6,80.9,83.2,7.44,32.7,5.5,29.29,450.0,Severe
2020-11-04,295.7,110.2,68.6,29.1,69.6,8.42,166.0,19.07,7.72,418.8,Severe
2020-11-05,189.7,408.4,106.6,40.2,71.6,2.47,121.1,15.42,23.95,372.9,Very Poor
2020-11-06,28.6,165.9,49.7,124.4,87.9,6.84,147.6,10.21,26.97,169.9,Moderate
2020-11-07,83.4,494.7,91.9,79.8,14.3,0.9,52.0,7.27,1.41,438.3,Severe
2020-11-08,229.3,298.1,140.7,105.1,70.8,2.63,64.3,7.25,5.69,384.1,Very Poor
2020-11-09,400.9,302.9,200.0,13.0,88.5,4.15,64.6,12.13,11.27,460.6,Severe
2020-11-10,10.8,589.0,110.2,73.8,201.0,4.63,55.3,4.17,29.27,493.6,Severe
2020-11-11,420.1,46.2,0.5,105.7,217.4,1.66,41.1,14.03,23.41,468.2,Severe
2020-11-12,47.8,330.9,78.6,4.8,167.9,3.69,121.9,16.94,2.42,280.9,Poor
2020-11-13,357.2,546.8,59.4,72.6,136.1,9.91,189.8,2.82,20.51,468.8,Severe
2020-11-14,341.7,259.0,65.3,42.7,134.6,0.65,26.2,12.97,19.75,437.1,Severe
2020-11-15,435.5,264.1,30.5,105.0,94.6,7.83,86.2,12.08,6.23,474.4,Severe
2020-11-16,457.6,503.9,72.9,75.3,2.6,2.58,60.6,16.92,26.87,483.1,Severe
2020-11-17,59.4,83.5,183.9,31.9,78.7,9.25,5.1,9.03,0.2,190.6,Moderate
2020-11-18,81.2,412.7,184.3,65.5,0.2,5.48,10.5,13.8,9.29,378.3,Very Poor
2020-11-19,89.7,188.2,192.6,132.5,178.9,2.33,50.4,2.97,6.82,199.0,Moderate
2020-11-20,317.3,364.3,91.5,85.8,247.7,3.05,52.3,12.79,18.21,427.4,Severe
2020-11-21,155.6,66.0,146.0,140.7,99.4,9.83,190.1,0.82,20.2,327.6,Very Poor
2020-11-22,248.1,330.4,135.1,75.9,150.8,0.67,34.2,9.38,18.82,398.5,Very Poor
2020-11-23,193.8,489.1,28.9,130.8,87.7,3.14,22.2,17.67,22.08,435.0,Severe
2020-11-24,361.3,387.3,124.3,73.5,26.0,8.06,35.3,4.85,24.35,444.9,Severe
2020-11-25,60.8,249.9,80.8,60.1,192.7,5.22,158.2,16.05,14.19,212.7,Poor
2020-11-26,481.5,89.8,74.7,109.4,172.5,4.36,51.1,2.28,13.48,492.6,Severe
2020-11-27,442.7,471.5,21.4,59.8,246.1,0.73,96.2,13.48,3.49,477.2,Severe
2020-11-28,203.1,18.4,99.4,36.7,140.3,3.82,144.9,7.43,21.96,364.0,Very Poor
2020-11-29,368.4,200.8,186.0,7.0,21.8,8.09,86.8,6.29,19.44,447.7,Severe
2020-11-30,316.6,463.8,142.1,69.8,172.1,3.41,86.8,3.91,16.74,427.1,Severe
2020-12-01,390.7,104.4,42.2,85.5,88.9,8.83,38.6,15.52,7.0,456.5,Severe
2020-12-02,462.0,310.7,116.9,42.3,95.0,8.29,51.0,1.92,11.11,484.9,Severe
2020-12-03,366.2,533.4,136.2,56.4,101.3,1.3,60.8,1.29,27.79,461.0,Severe
2020-12-04,485.2,14.0,91.8,132.2,24.7,7.01,170.3,17.67,9.76,494.1,Severe
2020-12-05,235.0,121.3,58.0,55.5,94.5,4.44,66.1,10.94,20.76,388.5,Very Poor
2020-12-06,403.0,563.5,152.5,54.3,94.9,9.98,51.0,18.22,2.58,478.6,Severe
2020-12-07,42.0,198.2,137.1,140.6,146.7,1.79,42.4,6.52,12.05,166.7,Moderate
2020-12-08,433.0,387.5,165.7,14.6,236.2,1.56,83.9,1.03,19.98,473.4,Severe
2020-12-09,58.4,386.7,62.4,71.2,119.7,8.99,198.7,13.36,16.36,345.7,Very Poor
2020-12-10,39.3,300.9,91.6,28.3,92.0,8.94,54.4,6.44,21.23,250.9,Poor
2020-12-11,423.3,459.4,53.9,90.3,243.1,3.03,30.4,1.95,6.21,469.5,Severe
2020-12-12,285.4,5.3,88.2,14.3,242.8,3.52,93.4,17.62,6.78,414.7,Severe
2020-12-13,13.4,296.1,195.9,98.2,131.9,0.83,191.5,11.53,9.45,258.1,Poor
2020-12-14,403.3,405.0,160.1,108.1,218.7,7.65,19.0,2.64,5.43,461.6,Severe
2020-12-15,220.6,287.9,91.3,132.2,49.7,0.57,15.0,8.58,2.46,377.4,Very Poor
2020-12-16,56.7,196.9,174.2,41.1,13.3,1.98,8.9,15.78,11.08,164.7,Moderate
2020-12-17,84.2,35.3,28.2,98.2,214.8,4.67,70.6,13.14,16.01,234.8,Poor
2020-12-18,462.3,54.0,63.5,57.6,23.8,0.94,19.9,6.53,8.93,485.0,Severe
2020-12-19,47.4,104.5,193.9,137.3,192.5,9.16,168.6,6.67,3.87,212.5,Poor
2020-12-20,74.6,468.3,0.1,21.0,204.6,6.37,114.9,14.71,28.56,422.9,Severe
2020-12-21,339.1,258.7,198.3,70.4,190.9,3.94,5.5,7.14,22.56,436.0,Severe
2020-12-22,378.5,573.1,136.0,75.7,232.4,1.06,142.6,4.99,19.23,484.2,Severe
2020-12-23,285.9,35.8,147.7,12.0,71.4,0.07,183.2,4.05,3.05,414.9,Severe
2020-12-24,233.0,578.3,131.9,106.7,158.0,2.46,102.6,2.86,10.51,487.3,Severe
2020-12-25,27.1,293.9,109.0,98.4,81.8,7.56,47.7,2.14,16.47,243.9,Poor
2020-12-26,199.9,220.2,164.4,83.2,168.1,8.34,116.8,9.42,14.01,361.6,Very Poor
2020-12-27,16.1,494.4,164.4,3.7,216.2,6.04,79.5,3.15,28.73,438.1,Severe
2020-12-28,418.0,448.4,48.8,128.2,98.4,3.38,76.9,19.69,22.83,467.4,Severe
2020-12-29,243.1,338.2,49.6,7.2,118.3,1.85,6.5,5.41,17.13,394.7,Very Poor
2020-12-30,107.2,595.4,97.0,4.9,241.1,3.83,84.9,10.04,15.49,497.3,Severe
2020-12-31,393.6,200.5,161.9,113.3,215.1,3.44,11.0,1.55,9.7,457.7,Severe
2021-01-01,200.0,289.0,58.8,127.0,202.7,6.58,107.0,10.43,22.51,361.6,Very Poor
2021-01-02,383.7,576.1,106.1,125.4,187.1,7.97,119.5,7.92,3.52,486.0,Severe
2021-01-03,187.2,109.9,187.0,137.5,180.9,2.47,37.9,10.13,1.94,351.8,Very Poor
2021-01-04,180.0,479.7,37.8,105.9,219.7,8.2,14.9,8.46,3.94,429.5,Severe
2021-01-05,79.8,346.1,123.3,27.5,233.3,0.23,18.4,10.34,28.69,296.1,Poor
2021-01-06,357.8,131.3,129.4,15.4,168.4,9.25,148.6,13.55,16.43,443.5,Severe
2021-01-07,146.0,192.3,100.3,66.1,162.9,6.72,11.5,14.43,12.57,320.2,Very Poor
2021-01-08,316.1,364.5,193.6,29.8,99.3,0.94,149.1,8.16,27.58,426.9,Severe
2021-01-09,457.2,44.2,78.6,141.5,55.0,5.81,26.1,17.97,22.45,483.0,Severe
2021-01-10,354.1,323.3,63.5,20.2,211.0,4.88,76.0,1.52,8.49,442.0,Severe
2021-01-11,412.7,404.6,50.2,103.2,94.1,0.62,170.0,15.66,15.58,465.3,Severe
2021-01-12,147.3,217.6,69.4,14.8,94.5,0.77,7.1,16.49,1.63,321.2,Very Poor
2021-01-13,371.2,413.9,192.2,62.8,42.3,0.88,34.5,3.16,0.94,448.8,Severe
2021-01-14,476.9,337.9,135.0,22.8,218.1,7.21,96.5,10.73,1.61,490.8,Severe
2021-01-15,228.1,79.2,136.9,43.8,200.7,7.14,83.1,4.02,28.28,383.2,Very Poor
2021-01-16,340.6,108.0,154.4,103.2,27.7,6.54,183.9,1.12,20.74,436.6,Severe
2021-01-17,178.6,12.5,71.6,134.5,122.2,8.36,110.7,14.5,0.88,345.2,Very Poor
2021-01-18,335.2,258.8,128.9,124.8,173.0,6.09,129.1,17.94,19.06,434.5,Severe
2021-01-19,363.5,244.6,44.9,14.8,154.7,4.14,166.2,9.6,5.28,445.7,Severe
2021-01-20,3.3,507.2,184.7,67.1,16.0,5.16,178.2,11.88,25.33,445.6,Severe
2021-01-21,392.9,580.8,96.0,137.5,110.9,0.46,159.5,8.42,1.81,488.8,Severe
2021-01-22,280.4,202.0,103.0,7.6,72.3,3.01,127.3,16.57,2.0,412.7,Severe
2021-01-23,408.6,554.9,30.1,139.1,235.6,6.66,38.9,1.94,14.33,473.6,Severe
2021-01-24,493.2,434.0,86.6,74.7,16.2,3.22,27.9,1.74,24.98,497.3,Severe
2021-01-25,391.9,595.5,52.1,34.9,28.0,2.34,191.9,17.19,20.77,497.4,Severe
2021-01-26,108.9,397.6,122.1,41.8,79.3,6.53,160.4,19.14,7.03,359.4,Very Poor
2021-01-27,182.4,529.3,91.2,121.6,35.1,4.85,89.5,14.06,0.48,458.6,Severe
2021-01-28,65.0,168.6,181.1,47.9,87.2,6.34,107.5,13.91,16.41,154.1,Moderate
2021-01-29,242.4,458.8,163.4,108.5,128.0,9.82,179.1,1.97,3.63,417.3,Severe
2021-01-30,41.7,501.3,83.5,146.9,22.6,4.58,105.4,4.18,13.95,442.2,Severe
2021-01-31,133.8,580.0,186.8,59.2,245.1,7.5,21.7,13.17,15.94,488.3,Severe
2021-02-01,78.8,105.3,122.3,78.1,76.9,6.88,46.2,16.98,27.45,161.8,Moderate
2021-02-02,115.5,178.0,35.6,147.3,229.7,6.16,135.8,13.74,1.03,284.6,Poor
2021-02-03,117.3,392.2,142.5,41.7,179.0,6.23,9.6,1.96,29.72,352.6,Very Poor
2021-02-04,309.2,150.5,148.4,129.2,239.2,3.39,87.2,2.71,15.07,424.1,Severe
2021-02-05,307.4,257.0,188.3,5.4,236.9,0.33,17.8,15.82,12.37,423.4,Severe
2021-02-06,121.1,111.7,16.2,120.2,146.3,4.02,142.7,13.41,15.52,301.1,Very Poor
2021-02-07,78.6,198.1,169.9,120.8,164.3,7.0,167.5,13.05,7.46,199.3,Moderate
2021-02-08,362.5,532.5,140.2,31.0,80.0,9.31,0.3,14.57,29.25,460.5,Severe
2021-02-09,469.7,512.2,104.2,25.3,113.9,7.8,22.3,2.03,28.18,488.0,Severe
2021-02-10,214.2,156.7,13.6,70.9,22.5,3.65,169.0,6.19,16.92,372.5,Very Poor
2021-02-11,156.1,40.5,19.6,72.0,209.8,5.28,112.8,5.04,7.35,327.9,Very Poor
2021-02-12,339.3,230.4,195.2,118.1,248.6,8.25,26.7,6.36,22.2,436.1,Severe
2021-02-13,347.9,208.6,187.7,92.1,19.9,4.63,151.5,7.42,17.46,439.5,Severe
2021-02-14,40.0,594.6,31.8,41.1,2.6,6.27,52.1,3.89,0.17,496.8,Severe
2021-02-15,3.4,354.3,158.1,109.8,1.4,8.79,142.4,15.66,23.84,305.1,Very Poor
2021-02-16,204.5,312.4,109.7,55.9,101.5,7.88,121.1,3.33,11.69,365.1,Very Poor
2021-02-17,409.7,406.0,6.1,75.0,8.4,0.73,181.5,6.66,27.91,464.1,Severe
2021-02-18,78.2,508.9,127.2,61.5,84.5,8.17,54.9,14.44,3.22,446.6,Severe
2021-02-19,204.1,11.3,175.5,26.1,23.7,5.15,132.8,15.77,19.04,364.8,Very Poor
2021-02-20,44.4,419.3,133.5,82.8,106.6,4.8,148.5,8.24,22.0,386.6,Very Poor
2021-02-21,345.7,13.7,1.8,122.7,160.5,7.25,78.9,6.46,20.33,438.7,Severe
2021-02-22,237.5,336.0,5.0,50.6,225.9,5.52,141.8,14.07,0.2,390.4,Very Poor
2021-02-23,295.4,308.6,89.6,144.7,72.4,9.61,26.1,15.09,26.25,418.7,Severe
2021-02-24,288.3,560.5,73.4,47.2,126.8,0.58,113.7,5.49,4.74,476.9,Severe
2021-02-25,321.8,281.6,156.4,3.7,113.3,3.6,3.5,5.2,8.62,429.1,Severe
2021-02-26,15.6,354.2,158.8,31.0,142.1,4.69,55.8,14.51,22.14,305.0,Very Poor
2021-02-27,227.9,123.9,139.5,124.2,183.4,9.71,39.0,2.37,9.41,383.0,Very Poor
2021-02-28,192.8,210.7,3.7,49.7,40.3,7.0,151.7,6.46,29.12,356.1,Very Poor
2021-03-01,436.8,37.8,197.0,55.3,115.4,8.66,32.6,8.89,5.39,474.9,Severe
2021-03-02,245.8,30.0,49.0,45.6,187.2,3.24,106.6,13.79,22.55,396.8,Very Poor
2021-03-03,367.6,184.7,41.8,19.4,203.3,4.34,126.0,13.63,9.29,447.4,Severe
2021-03-04,60.4,294.2,75.7,77.1,94.8,0.05,119.8,10.89,12.18,244.2,Poor
2021-03-05,243.9,563.1,153.6,125.9,171.7,0.36,75.0,17.46,11.12,478.4,Severe
2021-03-06,202.1,76.4,73.3,28.3,243.5,4.3,74.7,9.56,24.52,363.2,Very Poor
2021-03-07,74.2,9.9,5.7,145.2,111.2,9.93,165.5,11.26,27.02,199.1,Moderate
2021-03-08,369.2,257.0,71.0,109.3,114.9,6.73,84.9,16.93,14.13,448.0,Severe
2021-03-09,474.0,512.0,98.3,123.7,165.0,2.73,141.1,16.12,11.31,489.7,Severe
2021-03-10,341.3,465.9,92.3,8.7,2.9,0.44,9.0,14.51,23.31,436.9,Severe
2021-03-11,289.4,189.6,16.2,52.8,40.9,7.05,119.6,19.84,12.3,416.3,Severe
2021-03-12,21.3,102.7,169.4,136.3,180.8,3.99,1.8,12.42,28.2,124.7,Moderate
2021-03-13,411.6,13.6,90.1,79.2,155.0,5.61,192.7,18.2,7.65,464.9,Severe
2021-03-14,92.8,209.4,45.6,23.9,73.5,6.03,104.9,11.17,4.78,207.1,Poor
2021-03-15,443.4,335.9,11.7,2.2,46.1,3.95,24.2,12.95,11.05,477.5,Severe
2021-03-16,218.5,482.4,194.2,23.1,235.8,2.46,60.9,2.02,29.71,431.1,Severe
2021-03-17,245.3,235.9,147.0,3.4,88.9,2.49,51.9,3.73,14.33,396.4,Very Poor
2021-03-18,327.5,16.2,35.1,88.9,244.6,4.18,83.6,8.76,2.68,431.4,Severe
2021-03-19,40.2,36.5,167.0,69.7,46.1,8.16,8.1,18.93,12.89,176.9,Moderate
2021-03-20,315.7,476.4,188.2,125.8,245.2,7.71,6.3,19.19,24.82,427.6,Severe
2021-03-21,404.1,164.7,131.9,70.4,71.7,7.88,35.1,16.89,20.89,461.9,Severe
2021-03-22,498.8,167.4,8.4,126.1,178.9,5.26,158.5,5.29,14.66,499.5,Severe
2021-03-23,91.0,582.5,44.8,114.3,76.2,4.12,156.7,9.21,23.49,489.7,Severe
2021-03-24,354.8,594.5,87.0,21.4,80.3,1.26,112.1,11.96,14.11,496.8,Severe
2021-03-25,329.1,196.3,6.0,43.6,185.7,6.7,11.9,0.82,13.32,432.1,Severe
2021-03-26,478.4,263.2,62.8,67.0,229.7,2.6,53.1,2.14,15.52,491.4,Severe
2021-03-27,280.2,484.9,82.7,59.7,218.5,2.59,84.1,3.45,24.57,432.6,Severe
2021-03-28,373.5,308.3,187.3,51.0,63.8,5.16,139.6,18.15,21.89,449.7,Severe
2021-03-29,431.8,411.4,181.4,59.3,60.2,1.73,42.5,12.24,4.06,472.9,Severe
2021-03-30,174.1,138.8,165.2,55.1,71.9,0.63,89.8,7.56,23.49,341.8,Very Poor
2021-03-31,204.0,223.0,102.9,145.1,102.2,5.63,115.0,15.22,11.0,364.7,Very Poor
2021-04-01,409.7,127.0,55.7,17.0,79.7,1.57,134.9,15.47,28.66,464.1,Severe
2021-04-02,315.1,221.1,25.5,106.6,155.1,7.95,59.7,5.37,5.44,426.5,Severe
2021-04-03,357.1,118.7,131.3,29.3,176.2,2.83,93.7,1.25,22.26,443.2,Severe
2021-04-04,302.2,307.0,57.9,40.9,134.5,6.05,118.7,12.55,27.7,421.4,Severe
2021-04-05,446.7,238.0,182.9,94.4,127.3,6.61,6.3,15.7,15.56,478.8,Severe
2021-04-06,79.8,423.5,17.5,23.0,27.4,6.21,125.2,12.21,6.59,391.9,Very Poor
2021-04-07,161.4,16.7,67.7,98.4,192.4,6.56,37.5,0.65,6.56,332.0,Very Poor
2021-04-08,102.6,334.3,55.9,82.1,63.0,7.69,129.5,11.71,23.12,284.3,Poor
2021-04-09,406.7,265.0,22.6,89.6,125.4,5.57,140.2,17.14,16.93,462.9,Severe
2021-04-10,434.8,175.9,31.2,141.4,241.7,2.79,138.8,17.37,21.25,474.1,Severe
2021-04-11,404.5,162.3,12.1,11.3,17.9,4.9,82.7,5.19,10.09,462.0,Severe
2021-04-12,32.9,219.3,87.8,69.3,2.9,4.8,120.7,11.24,14.58,179.6,Moderate
2021-04-13,69.6,427.9,168.9,57.2,49.0,7.82,196.3,5.74,19.93,397.4,Very Poor
2021-04-14,224.3,566.6,64.7,132.9,77.1,2.73,23.6,17.69,22.88,480.4,Severe
2021-04-15,476.3,580.5,81.2,14.0,44.9,0.65,163.8,9.11,4.38,490.6,Severe
2021-04-16,492.7,587.1,33.1,124.2,133.3,3.69,46.6,2.18,18.49,497.1,Severe
2021-04-17,280.9,278.2,110.4,51.8,93.5,4.23,194.9,8.35,29.91,412.9,Severe
2021-04-18,202.9,452.9,185.5,86.9,108.3,8.68,153.8,17.57,25.89,413.8,Severe
2021-04-19,353.7,483.6,16.7,41.9,230.2,5.3,42.6,3.0,23.78,441.8,Severe
2021-04-20,80.6,58.8,75.8,121.6,233.4,0.23,156.1,12.46,20.47,253.4,Poor
2021-04-21,7.6,343.4,121.6,139.5,143.1,8.44,90.9,3.36,17.23,293.4,Poor
2021-04-22,79.8,287.3,30.7,142.4,31.6,0.01,125.2,16.72,14.76,237.3,Poor
2021-04-23,293.8,599.8,166.2,95.3,128.4,7.41,155.1,3.2,7.59,499.9,Severe
2021-04-24,478.6,153.2,194.9,12.6,216.5,5.98,98.8,3.34,2.43,491.5,Severe
2021-04-25,382.5,272.6,188.7,38.2,58.8,2.25,79.1,7.03,8.56,453.3,Severe
2021-04-26,43.2,566.1,121.9,11.7,242.7,4.53,80.6,10.33,29.2,480.1,Severe
2021-04-27,224.0,535.1,1.8,73.0,198.8,6.18,12.9,3.41,27.17,462.0,Severe
2021-04-28,213.9,171.8,105.3,76.9,179.2,4.99,31.3,2.75,12.4,372.3,Very Poor
2021-04-29,305.0,427.7,168.0,21.9,64.6,1.97,150.4,2.42,8.11,422.5,Severe
2021-04-30,174.2,423.2,36.8,78.2,211.5,4.55,133.0,12.43,6.02,391.5,Very Poor
2021-05-01,60.5,478.1,160.0,83.3,53.7,4.75,95.0,12.91,2.36,428.6,Severe
2021-05-02,310.6,501.8,109.3,132.8,104.0,2.31,82.2,18.88,27.07,442.5,Severe
2021-05-03,317.1,511.4,120.9,73.9,126.8,3.69,101.0,11.59,15.33,448.1,Severe
2021-05-04,85.4,146.6,83.9,135.6,188.1,5.69,167.4,11.89,8.83,208.1,Poor
2021-05-05,447.7,66.5,28.4,136.5,248.9,5.42,102.4,7.21,13.51,479.2,Severe
2021-05-06,109.5,442.0,152.7,97.4,221.9,4.04,108.9,13.51,16.2,407.4,Severe
2021-05-07,243.5,155.1,93.0,68.7,225.4,4.08,48.7,10.33,7.73,395.0,Very Poor
2021-05-08,312.7,546.8,58.7,35.6,127.7,9.69,74.3,9.31,24.48,468.8,Severe
2021-05-09,184.1,453.3,156.2,142.5,81.3,1.96,76.4,12.67,3.35,414.1,Severe
2021-05-10,34.0,423.9,86.8,142.8,170.9,7.29,196.4,7.14,10.62,392.4,Very Poor
2021-05-11,260.0,51.3,64.4,111.8,181.2,9.86,84.3,14.29,21.55,404.6,Severe
2021-05-12,75.7,560.5,125.1,19.9,26.2,4.7,109.3,12.35,13.58,476.9,Severe
2021-05-13,104.4,45.7,169.6,33.7,13.6,1.74,121.7,12.56,8.4,246.7,Poor
2021-05-14,25.4,488.3,32.0,7.5,111.5,0.09,32.3,2.62,26.94,434.6,Severe
2021-05-15,36.4,16.9,17.2,123.8,27.1,9.45,87.7,19.02,19.37,193.1,Moderate
2021-05-16,91.4,574.6,52.0,76.8,174.0,3.22,29.1,14.84,22.13,485.1,Severe
2021-05-17,441.1,305.7,187.6,71.5,112.4,0.76,57.1,11.47,16.29,476.6,Severe
2021-05-18,267.0,140.4,166.5,55.5,76.4,3.05,2.5,14.77,14.91,407.4,Severe
2021-05-19,188.8,168.2,159.0,40.9,20.2,6.33,170.2,15.11,24.36,353.0,Very Poor
2021-05-20,447.1,402.2,111.1,133.4,161.2,8.58,128.1,3.34,6.22,479.0,Severe
2021-05-21,475.7,108.5,169.0,44.5,230.0,2.12,64.2,17.69,26.45,490.3,Severe
2021-05-22,433.2,258.6,153.2,121.4,246.4,6.53,0.3,18.42,27.31,473.4,Severe
2021-05-23,48.6,235.9,190.8,98.7,176.1,2.19,72.2,9.86,23.05,196.1,Moderate
2021-05-24,87.3,523.6,63.3,64.9,72.3,6.35,75.2,16.47,13.52,455.2,Severe
2021-05-25,26.6,408.8,157.2,46.8,163.2,5.55,188.1,6.3,20.74,373.4,Very Poor
2021-05-26,153.1,231.5,40.4,40.8,143.8,9.29,4.2,15.17,7.29,325.6,Very Poor
2021-05-27,440.3,63.6,75.3,112.5,23.3,6.66,134.6,6.33,29.98,476.3,Severe
2021-05-28,112.5,506.4,33.0,46.8,155.6,2.72,175.3,18.74,5.07,445.2,Severe
2021-05-29,306.3,551.0,90.4,74.7,45.0,0.07,199.7,9.8,5.85,471.3,Severe
2021-05-30,400.6,200.4,176.0,142.5,194.6,1.28,86.7,7.27,8.58,460.5,Severe
2021-05-31,362.0,299.3,129.2,33.9,147.9,2.75,117.7,18.03,0.71,445.1,Severe
2021-06-01,416.8,404.3,25.8,52.0,10.6,6.68,190.8,11.76,27.69,466.9,Severe
2021-06-02,17.5,306.7,50.9,111.8,130.5,4.64,155.8,3.83,0.41,256.7,Poor
2021-06-03,409.2,228.1,60.7,108.2,143.9,4.27,131.6,19.37,0.73,463.9,Severe
2021-06-04,415.0,129.4,105.1,62.5,106.5,2.7,77.3,13.41,16.69,466.2,Severe
2021-06-05,223.7,185.6,145.2,70.4,42.0,3.31,89.7,10.9,17.02,379.8,Very Poor
2021-06-06,261.5,36.7,43.7,119.5,232.8,6.76,88.5,2.39,17.5,405.2,Severe
2021-06-07,285.5,536.1,123.7,103.1,152.5,3.0,104.9,18.16,16.56,462.6,Severe
2021-06-08,310.8,195.2,165.2,3.0,192.8,1.84,76.0,3.25,4.86,424.8,Severe
2021-06-09,129.3,488.3,165.2,39.4,230.3,4.46,165.8,10.57,25.74,434.6,Severe
2021-06-10,454.0,594.2,90.7,75.3,43.5,3.6,161.9,10.23,0.47,496.6,Severe
2021-06-11,212.2,522.1,7.8,109.7,38.2,6.52,125.7,8.92,17.44,454.4,Severe
2021-06-12,319.5,160.4,87.0,15.4,225.5,5.96,9.5,14.92,19.22,428.2,Severe
2021-06-13,390.4,5.9,45.2,62.4,83.7,6.52,187.6,10.51,21.33,456.4,Severe
2021-06-14,347.0,168.2,17.5,61.6,22.7,8.12,146.3,0.82,14.43,439.2,Severe
2021-06-15,291.5,492.2,25.6,75.9,155.9,4.84,126.1,11.0,6.93,436.9,Severe
2021-06-16,262.0,472.7,19.8,96.0,22.2,9.86,190.3,19.42,2.74,425.4,Severe
2021-06-17,353.3,219.4,183.7,101.3,108.7,4.66,177.3,8.78,1.5,441.7,Severe
2021-06-18,231.9,93.8,196.1,148.6,223.1,8.13,174.3,1.0,21.41,386.1,Very Poor
2021-06-19,274.0,38.3,177.7,127.7,89.2,3.03,172.7,14.5,29.21,410.1,Severe
2021-06-20,498.3,128.6,58.8,90.9,50.2,5.12,22.5,14.0,16.47,499.3,Severe
2021-06-21,187.3,481.2,185.8,7.3,222.2,3.26,63.2,17.48,20.94,430.4,Severe
2021-06-22,153.9,542.8,40.9,12.7,176.5,3.33,133.7,19.51,9.03,466.5,Severe
2021-06-23,68.6,479.0,165.3,28.4,200.3,1.08,166.4,0.32,29.28,429.1,Severe
